#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 4/59
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 64x36
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,     2304, 593524f906e16aa367ec92b0a5698ff5
0,          3,          3,        1,     2304, 9a8c147a25cf9f0fda7cc441d25de31a
0,          4,          4,        1,     2304, 3571b815935d060c0d10471f6a024afa
0,          5,          5,        1,     2304, 0270eb1a6769be08e5ff6b04b413f2b0
0,          6,          6,        1,     2304, 54306de4c367a46debfc01cfcb4af34c
0,          7,          7,        1,     2304, 313ff1c00be4e6dbd42199067519890a
0,          8,          8,        1,     2304, 7c7b7aba3a7b00f7cddf9cf96feaccc3
0,          9,          9,        1,     2304, 6168cbea9e4c343215e88bee13eef09f
0,         10,         10,        1,     2304, 0cc28f588c4e9c5ef83c42759fb7b7b1
0,         11,         11,        1,     2304, ed23a03324e2f08c7d16f671e2f285d3
0,         12,         12,        1,     2304, c9899cba2f10a7f5e685437f83ba0865
0,         13,         13,        1,     2304, 3db626d793f31eddf07498307c96695e
0,         14,         14,        1,     2304, 5c5cf3b9d1812a333479cde28e41ac2e
0,         15,         15,        1,     2304, c4f92829a7d540632d211ea884e2efa7
0,         16,         16,        1,     2304, da83bc8acfb1e83626e62b73a72b1405
0,         17,         17,        1,     2304, eb869fd45b68a3a95ee1e709a347e62f
0,         18,         18,        1,     2304, 1443d0e56389322dc13a18eca04bb7ba
0,         19,         19,        1,     2304, 1dbce260995e95b6150fea7d9aceb6f9
0,         20,         20,        1,     2304, e0ef85c4cddf36c82ea2db0b09a2ca68
0,         21,         21,        1,     2304, dee7274064a291ddcf62628a1ee7ef0f
0,         22,         22,        1,     2304, 32e065725350c2df59e5ea332f0fa69e
0,         23,         23,        1,     2304, 52fc771f0effa19245063d9a601bca48
0,         24,         24,        1,     2304, bd6e08bd6a0667d4ccba0412ac8ab049
0,         25,         25,        1,     2304, 9f5a2655dbc184260013424201aad96e
0,         26,         26,        1,     2304, cdfc15dbdf6b11f84d88639aa55e8345
0,         27,         27,        1,     2304, 18d64169a68d5ca2a4ca9c5a3ad48938
0,         28,         28,        1,     2304, 4a1c3fed34e550ca869258b8d7ee2735
0,         29,         29,        1,     2304, e0e9947b2289b6d849c71443b1c42fa5
0,         30,         30,        1,     2304, 8646ff1be8bdbddf670789f657e3ab03
0,         31,         31,        1,     2304, cb7d05779faa1b4ca6b07ad7e38766a8
0,         32,         32,        1,     2304, 2a562334fdd818849334f93e27cbafe9
0,         33,         33,        1,     2304, fcf8545e1e1a49ac3898d938aefb88a1
0,         34,         34,        1,     2304, 23e903c5372f24ae8c5818216604fd74
0,         35,         35,        1,     2304, 65f2e17add13fe8fa6c90e629102ef4e
0,         36,         36,        1,     2304, 8996cb158e49521ecc7030e795c63be2
0,         37,         37,        1,     2304, ffabc6ede0e8eaa548d99e077fbd471b
0,         38,         38,        1,     2304, 2072c0107c78aaa2e8514185ce64ef55
0,         39,         39,        1,     2304, 963345e51aa6186238fb57a7fcd4e164
0,         40,         40,        1,     2304, e26bf630d7ebe77d3a97e15e19d9c725
0,         41,         41,        1,     2304, 4262256a154edf2cb9ba82bd8d08f7d2
0,         42,         42,        1,     2304, 7694008aac4d31aca7117b69e3fca534
0,         43,         43,        1,     2304, d15a478a403a3ac4740c9a47febad9fb
0,         44,         44,        1,     2304, 5f52c771f6929ba12f409eede4c56ceb
0,         45,         45,        1,     2304, 0cd78bce24ef0474d35b244e7d160451
0,         46,         46,        1,     2304, 6d633ce80241fbf04e71208e5c85f107
0,         47,         47,        1,     2304, 1204ed7d8061ea2378f0410e315b2265
0,         48,         48,        1,     2304, 92ce8a80bb924f979a609c5e781f0dce
0,         49,         49,        1,     2304, 5664d2b183a0cd62579a9e84b96016f9
0,         50,         50,        1,     2304, fe936b3180a4c1c07d6d4aca15f53a16
0,         51,         51,        1,     2304, 06dd60e6378deb39ce79ffca518152cc
0,         52,         52,        1,     2304, 65b544da79b3419e9870bba0b6e596f6
0,         53,         53,        1,     2304, 7216e78ac4e51e5ffe7552c91da29666
0,         54,         54,        1,     2304, d6ae515d2f19f895594e6737980824dc
0,         55,         55,        1,     2304, 1aa60cf1f9e60583d8bdc7e35254608a
0,         56,         56,        1,     2304, f58a39565a40bf52e1bfe7cd159812b4
0,         57,         57,        1,     2304, 756868c8cacf739b0358365888814a4c
0,         58,         58,        1,     2304, fca83a03545da01ad738ffa53c8ba239
0,         59,         59,        1,     2304, 7093cdbec8336a868b383066ee095cf6
0,         60,         60,        1,     2304, 35827e25f6500eee06f3f34bb3be567f
0,         61,         61,        1,     2304, bf7b865a02515a11ff6e0d1d73ae0bcf
0,         62,         62,        1,     2304, b25569f242e2a9bfc3e5b1d225aad59f
0,         63,         63,        1,     2304, b164b642a29ce855f6c833037e58776b
0,         64,         64,        1,     2304, cb605af31526044e3593bdfa96e27c3d
0,         65,         65,        1,     2304, 86ae52250e379b35814aa99cc3501545
0,         66,         66,        1,     2304, 9dc64416ed41808f54c02c464c09767c
0,         67,         67,        1,     2304, ca298e0766e3607fd5932c4a40689523
0,         68,         68,        1,     2304, 73b52306ca25e34befb5f8a4f6da3032
0,         69,         69,        1,     2304, b81827428a2bcdbd89ef9d07c532d4ff
0,         70,         70,        1,     2304, 0b69a0f5e0b0cd1f78b6159d0791200a
0,         71,         71,        1,     2304, 765e41cfc95b9093ad5ecf802c6d43b5
0,         72,         72,        1,     2304, fd7b30c383664aed285302998b6b1b24
0,         73,         73,        1,     2304, 33549497683d2af95d3d70ec783e3dd4
0,         74,         74,        1,     2304, b148faa9f5143f52e651f14af5771be5
0,         75,         75,        1,     2304, 0dababd644b79c4ee57a5c3b9e50969e
0,         76,         76,        1,     2304, 20cc5cff7211cd740bb07ef38666e8d3
0,         77,         77,        1,     2304, 130938492f409c7d7a2638be9a227718
0,         78,         78,        1,     2304, 64aba6a5c88c3e40901ddee2eb141b61
0,         79,         79,        1,     2304, a018766b122245a92a3c536ea5f119cb
